Locality,category_type,category_value,Is NCR,Supply,Demand,AvgVotesPerRestaurant,locality_p75_threshold,mean_Cred_Rating,percentile_rank
Vasant Vihar,price_range,4,True,1,114,114.0,68.91666666666666,4.014800802149126,1.0
Vikaspuri,price_range,3,True,2,71,35.5,29.720588235294116,3.3329155685956433,1.0
Kamla Nagar,price_range,3,True,2,350,175.0,130.7,3.4431816043978447,1.0
Kalkaji,price_range,3,True,2,389,194.5,138.125,3.4416811069495385,1.0
Sainik Farms,price_range,3,True,1,13,13.0,8.14516129032258,3.256653721779153,1.0
Sector 132,price_range,3,True,2,115,57.5,30.942307692307693,3.6087391406855946,1.0
Ashok Vihar Phase 1,price_range,3,True,1,35,35.0,33.36363636363636,3.079911080360803,1.0
Anand Vihar,price_range,3,True,1,106,106.0,74.82142857142857,3.7265324564535964,1.0
DLF Phase 3,price_range,3,True,2,151,75.5,68.34615384615384,3.3898204483598704,1.0
Daryaganj,price_range,3,True,1,711,711.0,412.67857142857144,3.5839638562504046,1.0
Chandni Chowk,price_range,4,True,1,305,305.0,212.0,4.254837657486744,1.0
Chanakyapuri,price_range,3,True,2,174,87.0,60.712500000000006,2.946813414660764,1.0
Gujranwala Town,price_range,3,True,1,155,155.0,93.33333333333334,3.160355542893664,1.0
IP Extension,price_range,3,True,2,192,96.0,70.75,2.8501564625658107,1.0
East of Kailash,price_range,3,True,1,686,686.0,349.3333333333333,4.050085075850759,1.0
Green Park,price_range,4,True,1,303,303.0,228.66666666666666,3.6514560532679194,1.0
Jail Road,price_range,3,True,1,621,621.0,175.21875,4.137929150373593,1.0
Jangpura,price_range,3,True,1,744,744.0,393.29411764705884,3.95991491897895,1.0
Dilshad Garden,price_range,3,True,1,56,56.0,53.44117647058823,3.3239288642886424,1.0
Defence Colony,price_range,4,True,1,354,354.0,331.95000000000005,3.7454405229536167,1.0
Mayur Vihar Phase 1,price_range,4,True,1,80,80.0,58.25,3.195445974808585,1.0
Rajouri Garden,cuisine,Street Food,True,1,413,413.0,290.82142857142856,3.7524080752171156,0.9375
MG Road,cuisine,Italian,True,2,473,236.5,115.0,3.596602158359734,0.9333333333333333
Pitampura,cuisine,Other,True,2,140,70.0,61.8,3.489937015255569,0.9333333333333333
Vikaspuri,cuisine,Street Food,True,2,68,34.0,30.1,3.169016857476267,0.9285714285714286
Sector 50,cuisine,Pizza,True,1,161,161.0,141.125,2.621964432144321,0.9285714285714286
Preet Vihar,cuisine,Pizza,True,1,102,102.0,45.75,2.9788909321212413,0.9285714285714286
East Patel Nagar,cuisine,Pizza,True,1,119,119.0,91.0,3.4566222068470682,0.9285714285714286
Sector 14,cuisine,Cafe,True,1,34,34.0,31.0,3.125452177714548,0.9230769230769231
Naraina,cuisine,Continental,True,1,15,15.0,11.0,3.2923832929735544,0.9230769230769231
Uttam Nagar,cuisine,Other,True,2,13,6.5,6.2,3.28770184015682,0.9230769230769231
Sector 15,cuisine,Raw Meats,True,2,311,155.5,70.0,3.528484518937609,0.9230769230769231
Lodhi Colony,cuisine,South Indian,True,1,330,330.0,148.0,3.7419855692620247,0.9230769230769231
Connaught Place,cuisine,Bakery,True,2,5048,2524.0,1151.0,4.2781802718832616,0.9230769230769231
Anand Vihar,cuisine,Desserts,True,1,58,58.0,46.020833333333336,3.486098418227173,0.9166666666666666
Sushant Lok,cuisine,Italian,True,1,80,80.0,51.75,3.009399463180678,0.9166666666666666
Palam Vihar,cuisine,Continental,True,1,17,17.0,11.25,3.28655349621678,0.9166666666666666
Mukherjee Nagar,cuisine,Ice Cream,True,1,9,9.0,5.083333333333333,3.312285012936336,0.9166666666666666
Saket,cuisine,Italian,True,1,237,237.0,128.25,3.143050806819257,0.9166666666666666
Sector 37,cuisine,Cafe,True,2,148,74.0,59.25,3.5607461261702653,0.9166666666666666
Green Park,cuisine,Italian,True,2,543,271.5,182.2,3.3500877907056816,0.9166666666666666
Sector 110,cuisine,Italian,True,2,94,47.0,38.44565217391305,2.660227487764388,0.9090909090909091
Civil Lines,cuisine,Italian,False,2,252,126.0,89.96153846153845,3.7076169388338616,0.9090909090909091
Chittaranjan Park,cuisine,Desserts,True,1,112,112.0,92.75,3.663431868014332,0.9090909090909091
"Logix City Centre, Sector 32, Noida",cuisine,Continental,True,1,18,18.0,9.818181818181818,3.25690344403444,0.9090909090909091
East of Kailash,cuisine,Cafe,True,1,24,24.0,11.619047619047619,3.1371579554836644,0.9090909090909091
Sector 132,cuisine,Pizza,True,2,30,15.0,6.222222222222222,3.048849088819835,0.9
Paschim Vihar,cuisine,Street Food,True,2,124,62.0,56.0,3.2084340777883584,0.9
Greater Noida,cuisine,Chinese,True,1,36,36.0,22.357142857142858,3.033088597062441,0.9
Nehru Place,cuisine,Fast Food,True,1,177,177.0,95.0,3.624391728983661,0.9
Udyog Vihar,cuisine,Chinese,True,1,11,11.0,7.125,3.305208845838458,0.9
Janpath,cuisine,Italian,True,2,1463,731.5,396.3333333333333,3.584890076628527,0.8888888888888888
Tagore Garden,cuisine,Other,True,1,54,54.0,24.0,3.4292478713622083,0.8888888888888888
Rajinder Nagar,cuisine,Pizza,True,1,119,119.0,75.39285714285714,3.0316222068470684,0.875
Pitampura,cuisine,Raw Meats,True,1,68,68.0,61.8,3.4958335961564746,0.8666666666666667
Old Railway Road,cuisine,Ice Cream,True,1,18,18.0,17.0,3.418097473885186,0.8636363636363636
Vikaspuri,cuisine,Mughlai,True,2,67,33.5,30.1,3.313001857960335,0.8571428571428571
Sector 50,cuisine,Italian,True,2,320,160.0,141.125,2.6599287306217656,0.8571428571428571
Preet Vihar,cuisine,Cafe,True,1,100,100.0,45.75,3.5182049043644796,0.8571428571428571
Sector 17,cuisine,Mithai,True,2,43,21.5,21.25,3.2823614527811946,0.8571428571428571
Kirti Nagar,cuisine,Pizza,True,1,57,57.0,56.5,3.3237031202859195,0.8461538461538461
Naraina,cuisine,Street Food,True,1,13,13.0,11.0,3.361492431456572,0.8461538461538461
Greater Kailash (GK) 2,cuisine,South Indian,True,2,534,267.0,236.5,3.5799683536833182,0.8461538461538461
Jail Road,cuisine,Street Food,True,1,41,41.0,18.5,3.100139230558972,0.8461538461538461
Sector 72,cuisine,Desserts,True,2,11,5.5,5.0,3.3086869618696184,0.8461538461538461
Vasundhara Enclave,cuisine,Pizza,True,2,17,8.5,6.4,3.1577656174289013,0.8461538461538461
Punjabi Bagh,cuisine,Continental,True,2,187,93.5,80.75,3.4302075414417335,0.8461538461538461
Lodhi Colony,cuisine,Italian,True,1,171,171.0,148.0,3.311420594319579,0.8461538461538461
Sector 41,cuisine,Cafe,True,2,66,33.0,29.0,3.401858182046234,0.8461538461538461
Sector 14,cuisine,Pizza,True,1,32,32.0,31.0,3.4100312438309563,0.8461538461538461
Sector 62,cuisine,Pizza,True,1,118,118.0,34.42857142857143,2.820434315870105,0.8461538461538461
Green Park,cuisine,Mughlai,True,1,235,235.0,182.2,3.3088469392616457,0.8333333333333334
Sushant Lok,cuisine,Continental,True,1,53,53.0,51.75,3.6883581446108575,0.8333333333333334
Netaji Subhash Place,cuisine,Italian,True,1,211,211.0,166.9375,3.3096635798088747,0.8333333333333334
Saket,cuisine,Continental,True,1,184,184.0,128.25,3.5476932650227786,0.8333333333333334
Sector 37,cuisine,Desserts,True,1,66,66.0,59.25,3.666195919567891,0.8333333333333334
Vasant Vihar,cuisine,Other,True,2,85,42.5,31.625,3.4145167674004324,0.8333333333333334
Tilak Nagar,cuisine,Raw Meats,True,2,22,11.0,7.71875,3.31349701958558,0.8333333333333334
Jangpura,cuisine,Pizza,True,1,55,55.0,29.200000000000003,3.6414666418298793,0.8333333333333334
DLF Phase 3,cuisine,Continental,True,2,87,43.5,42.80769230769231,3.399712293069712,0.8333333333333334
Palam Vihar,cuisine,Cafe,True,1,15,15.0,11.25,3.3158207929735544,0.8333333333333334
Laxmi Nagar,cuisine,Street Food,True,2,144,72.0,71.5,3.377585312617832,0.8333333333333334
Chittaranjan Park,cuisine,Continental,True,1,109,109.0,92.75,3.7298261439892877,0.8181818181818182
Civil Lines,cuisine,South Indian,False,1,106,106.0,89.96153846153845,3.3845969725826284,0.8181818181818182
Paharganj,cuisine,Pizza,True,1,29,29.0,27.5,3.2578529583372755,0.8181818181818182
Lajpat Nagar 1,cuisine,Fast Food,True,2,50,25.0,16.0,3.360005332458016,0.8181818181818182
"DLF Mall of India, Sector 18,  Noida",cuisine,Desserts,True,1,324,324.0,314.7,4.3490952567032375,0.8181818181818182
Vijay Nagar,cuisine,Bakery,True,2,828,414.0,354.53846153846155,4.052769003512587,0.8181818181818182
Sector 45,cuisine,Cafe,True,1,24,24.0,22.166666666666664,3.3015415171274998,0.8181818181818182
IP Extension,cuisine,Fast Food,True,2,86,43.0,40.66666666666667,3.3486547803092703,0.8181818181818182
