Restaurant ID,Restaurant Name,Votes,Aggregate rating,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change
18312443,The Claridges Garden -The Claridges,5,3.1,3.3280098287093978,0.9074074074074074,4106.0,3436.0,670.0
2683,Aura - The Claridges,42,3.5,3.4199179203330488,0.5384615384615384,2195.0,2485.0,-290.0
2682,Dhaba - The Claridges,548,3.9,3.8549623630658414,0.08207705192629816,807.0,732.0,75.0
2681,Jade - The Claridges,134,3.8,3.6798498948104235,0.2677595628415301,1087.0,1231.0,-144.0
2674,Pickwicks - The Claridges,139,3.7,3.609109206118657,0.26063829787234044,1422.0,1516.0,-94.0
2684,Ye Old Bakery - The Claridges,65,3.7,3.550109918862346,0.4298245614035088,1422.0,1760.0,-338.0
2675,Sevilla - The Claridges,800,4.3,4.245244441402011,0.05771495877502945,190.0,180.0,10.0
3227,GBar - The Grand New Delhi,145,3.3,3.3129511894345747,0.25257731958762886,3125.0,4147.0,-1022.0
4840,Cascades - The Grand New Delhi,97,3.6,3.5165241832212843,0.3356164383561644,1785.0,1919.0,-134.0
2726,1911 Bar - The Imperial,10,3.2,3.3256361144119913,0.8305084745762712,3596.0,3496.0,100.0
301523,Nostalgia at 1911 Brasserie - The Imperial,12,3.2,3.3215168975460245,0.8032786885245902,3596.0,3704.0,-108.0
2729,Patiala Peg - The Imperial,25,3.3,3.3339531182473983,0.6621621621621622,3125.0,3294.0,-169.0
2724,1911 - The Imperial,272,3.9,3.8162384135523597,0.1526479750778816,807.0,831.0,-24.0
2728,Daniell's Tavern - The Imperial,59,3.7,3.541782692132477,0.4537037037037037,1422.0,1797.0,-375.0
2730,La Baguette - The Imperial,45,3.8,3.5660907526628454,0.5212765957446809,1087.0,1690.0,-603.0
2727,San Gimignano - The Imperial,104,3.7,3.5883171944464545,0.3202614379084967,1422.0,1579.0,-157.0
2731,The Atrium - The Imperial,57,3.6,3.485023875002901,0.46226415094339623,1785.0,2065.0,-280.0
2725,The Spice Route - The Imperial,259,4.0,3.8967939310074917,0.1590909090909091,614.0,628.0,-14.0
18237363,Bao Cha,90,3.0,3.123831156477032,0.35251798561151076,4617.0,5890.0,-1273.0
18322518,Nazeer Delicacies,21,3.3,3.335893296432964,0.7,3125.0,3255.0,-130.0
1023,Open Oven,109,3.4,3.384889435128528,0.310126582278481,2648.0,2751.0,-103.0
18277022,Slurp Pasta Express,5,2.9,3.309491310190879,0.9074074074074074,5082.0,4258.0,824.0
18354650,Urban Gala,19,2.8,3.1972430992692273,0.7205882352941176,5462.0,5626.0,-164.0
9671,Shree Rathnam,96,3.5,3.449741591381431,0.33793103448275863,2195.0,2317.0,-122.0
149,Subway,146,1.9,2.2646796448733713,0.2512820512820513,6502.0,6502.0,0.0
8842,24/7 Pastry Shop - The Lalit New Delhi,46,3.3,3.3264476921084998,0.5157894736842106,3125.0,3479.0,-354.0
8817,Le Petit Cafe - The Lalit New Delhi,31,3.2,3.2926566343788437,0.6125,3596.0,4702.0,-1106.0
309110,The Grill Room - The Lalit New Delhi,51,3.4,3.376125307503075,0.49,2648.0,2890.0,-242.0
301524,24/7 Bar- The Lalit New Delhi,45,3.5,3.4224737313862494,0.5212765957446809,2195.0,2476.0,-281.0
3910,24/7 Restaurant - The Lalit New Delhi,419,3.7,3.6634883135690335,0.1047008547008547,1422.0,1313.0,109.0
3027,Baluchi - The Lalit New Delhi,265,3.9,3.8143711170391956,0.15605095541401273,807.0,835.0,-28.0
4907,Kitty Su - The Lalit New Delhi,747,3.7,3.678533330088326,0.06155778894472362,1422.0,1238.0,184.0
104,Woks - The Lalit New Delhi,62,3.6,3.4902029797325,0.44144144144144143,1785.0,2033.0,-248.0
300688,Cafí© Knosh - The Leela Ambience Convention Hotel,186,3.9,3.7855852372353507,0.20851063829787234,807.0,893.0,-86.0
300697,Cherry Bar - The Leela Ambience Convention Hotel,48,3.6,3.4743559871165726,0.5051546391752577,1785.0,2134.0,-349.0
300696,Mei Kun - The Leela Ambience Convention Hotel,42,3.6,3.4660717664868956,0.5384615384615384,1785.0,2205.0,-420.0
300695,Dilli 32 - The Leela Ambience Convention Hotel,184,4.0,3.863573093348959,0.21030042918454936,614.0,710.0,-96.0
4917,Jamavar - The Leela Palace,241,3.9,3.8072845887941638,0.16896551724137931,807.0,847.0,-40.0
4910,Le Cirque - The Leela Palace,199,3.8,3.7113408497996265,0.1975806451612903,1087.0,1129.0,-42.0
6812,MEGU - The Leela Palace,178,3.9,3.7815529989000325,0.21585903083700442,807.0,905.0,-98.0
4911,The Library - The Leela Palace,59,3.7,3.541782692132477,0.4537037037037037,1422.0,1797.0,-375.0
4915,The Lobby Lounge - The Leela Palace,32,3.6,3.449537416670463,0.6049382716049383,1785.0,2320.0,-535.0
310878,The Lodhi Bakery - The Lodhi,4,2.9,3.317217561326556,0.9245283018867925,5082.0,3922.0,1160.0
3283,Elan - The Lodhi,185,3.8,3.706036456197895,0.2094017094017094,1087.0,1153.0,-66.0
2768,Agni - The Park,199,3.3,3.3101311723802715,0.1975806451612903,3125.0,4243.0,-1118.0
