Restaurant ID,Restaurant Name,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes,n_outlets,Is Chain,Is Rated,Is NCR,Cuisines Count,Primary Cuisine,Log_Votes,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change,Log_Cost,VFM_Predicted_Rating,VFM_Residual,VFM_rank_overall,VFM_rank_within_ncr,Competitors_500m,Competitors_1km,Competitors_2km,density_tier,Has_Density_Data,Model_Predicted_Rating,Model_Residual,Coldstart_Risk_Score
18345759,Nehra's Food Point,Gurgaon,"Opposite Unitech Cyber Park, Sector 39, Gurgaon",Sector 39,"Sector 39, Gurgaon",77.0557718,28.4415695,Chinese,350,0,0,1,0.0,White,Not rated,0,1,False,False,True,1,Chinese,0.0,,,,,,,,,,,11.0,40.0,92.0,Dense (20+),True,,,0.9422582120995732
18352657,Orange Food Cart,Gurgaon,"Opposite Medicity Hospital, Sector 39, Gurgaon",Sector 39,"Sector 39, Gurgaon",77.04298183,28.43958321,Chinese,200,0,0,1,0.0,White,Not rated,0,1,False,False,True,1,Chinese,0.0,,,,,,,,,,,7.0,12.0,91.0,Moderate (6-20),True,,,0.9481829300422666
18458637,Royal Sweets,Gurgaon,"Near Gurudwara, Opposite Medanta Hospital, Sector 39, Gurgaon",Sector 39,"Sector 39, Gurgaon",77.0449407,28.4394492,"North Indian, Mithai, Chinese",500,0,0,2,0.0,White,Not rated,0,1,False,False,True,3,North Indian,0.0,,,,,,,,,,,7.0,12.0,91.0,Moderate (6-20),True,,,0.8187060708379996
18352655,Shree Annapurna,Gurgaon,"Opposite Medicity Hospital, Sector 39, Gurgaon",Sector 39,"Sector 39, Gurgaon",77.04290237,28.43970173,"Chinese, North Indian",200,0,0,1,0.0,White,Not rated,0,1,False,False,True,2,Chinese,0.0,,,,,,,,,,,7.0,12.0,91.0,Moderate (6-20),True,,,0.9318345807049042
18458641,Underground Restaurant,Gurgaon,"Adjacent Unitech Cyber Park, Opposite HSBC Building, Sector 39, Gurgaon",Sector 39,"Sector 39, Gurgaon",77.0575645,28.4440456,"Chinese, North Indian",600,0,0,2,0.0,White,Not rated,0,1,False,False,True,2,Chinese,0.0,,,,,,,,,,,14.0,22.0,97.0,Dense (20+),True,,,0.9003393935238365
304142,Midnight Sutra,Gurgaon,"Near Paras Hospital, Sector 43, Gurgaon",Sector 43,"Sector 43, Gurgaon",77.0906106,28.4507062,"North Indian, Fast Food",600,0,1,2,3.0,Orange,Average,174,1,False,True,True,2,North Indian,5.1647859739235145,3.077186236548464,0.2197309417040358,4617.0,5983.0,-1366.0,6.398594934535208,3.4014703540590903,-0.3242841175106261,5861.0,5309.0,0.0,44.0,201.0,Dense (20+),True,3.0962427,-0.0962426662445068,0.2574792808298164
18433016,Paddy's - The Grub Grill,Gurgaon,"Fuel Nation Petrol Pump, Opposite Ardee City Gate 2, Sector 52A, Near, Sector 43, Gurgaon",Sector 43,"Sector 43, Gurgaon",77.0859299,28.4419061,"North Indian, Chinese, Fast Food",600,0,1,2,3.2,Orange,Average,11,1,False,True,True,3,North Indian,2.4849066497880004,3.3235421791717914,0.8166666666666667,3596.0,3655.0,-59.0,6.398594934535208,3.4014703540590903,-0.0779281748872988,4214.0,3831.0,4.0,8.0,121.0,Moderate (6-20),True,3.0268648,0.1731352329254152,0.2048387723380003
312683,Sugar Rush By Saiba,Gurgaon,"The Icon, Sector 43, Gurgaon",Sector 43,"Sector 43, Gurgaon",77.0959808,28.4514497,"Bakery, Desserts",400,0,0,1,4.1,Green,Very Good,176,1,False,True,True,2,Bakery,5.176149732573829,3.936944581112477,0.2177777777777777,429.0,555.0,-126.0,5.993961427306569,3.3615612260845467,0.5753833550279306,248.0,197.0,28.0,43.0,176.0,Dense (20+),True,3.1505458,0.9494541645050044,0.7873229517018085
18037824,Bamboo House,Gurgaon,"Shop 97, HUDA Market, Sector 46, Near Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0593066,28.4351572,"Chinese, Thai",550,0,1,2,3.4,Orange,Average,64,1,False,True,True,2,Chinese,4.174387269895637,3.378871953542544,0.4336283185840708,2648.0,2852.0,-204.0,6.311734809152915,3.39290331302606,-0.0140313594835155,3074.0,2738.0,16.0,24.0,75.0,Dense (20+),True,3.089647,0.3103529453277587,0.3450457892622353
303848,Burger Unlimited Kitchen,Gurgaon,"Shop 78, HUDA Market, Sector 46, Near Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0595047,28.4350181,"North Indian, Chinese, Fast Food",600,0,1,2,3.2,Orange,Average,41,1,False,True,True,3,North Indian,3.737669618283368,3.2823614527811946,0.5444444444444444,3596.0,4909.0,-1313.0,6.398594934535208,3.4014703540590903,-0.1191089012778956,4785.0,4366.0,16.0,22.0,74.0,Dense (20+),True,3.1467555,0.0532445430755617,0.2183096528380498
18273536,Cafeteria Point,Gurgaon,"SCO 4, HUDA Market, Sector 46, Near Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0598728,28.4340212,Cafe,500,0,1,2,3.2,Orange,Average,24,1,False,True,True,1,Cafe,3.218875824868201,3.3015415171275,0.6712328767123288,3596.0,4544.0,-948.0,6.2166061010848646,3.3835207391251902,-0.0819792219976904,4270.0,3883.0,16.0,18.0,69.0,Moderate (6-20),True,3.5164506,-0.3164506435394285,0.4271181740287494
18291450,Choudhary Gohana Famous Jalebi,Gurgaon,"Shop 3, Near Vita Booth, Huda Market, Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0599779,28.4341404,"Mithai, Street Food",200,0,0,1,3.2,Orange,Average,10,1,False,True,True,2,Mithai,2.3978952727983707,3.3256361144119917,0.8305084745762712,3596.0,3496.0,100.0,5.303304908059076,3.2934415599652347,0.0321945544467565,2421.0,2115.0,16.0,19.0,70.0,Moderate (6-20),True,3.227135,-0.0271349430084226,0.8645998734684971
18345780,Curry N' Tandoor,Gurgaon,"Shop 41, Huda Market, Sector 46, Near Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0598166,28.4345074,"Mughlai, North Indian",500,0,0,2,3.2,Orange,Average,18,1,False,True,True,2,Mughlai,2.9444389791664403,3.310634787318022,0.7313432835820896,3596.0,4227.0,-631.0,6.2166061010848646,3.3835207391251902,-0.072885951807168,4130.0,3751.0,16.0,20.0,71.0,Moderate (6-20),True,3.2651763,-0.0651762962341306,0.7354956063614917
18303712,Dawat-e-Ishq,Gurgaon,"Shop 96, HUDA Market, Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0592634,28.4351263,"North Indian, Chinese",600,0,1,2,3.3,Orange,Average,59,1,False,True,True,2,North Indian,4.0943445622221,3.3232641736139583,0.4537037037037037,3125.0,3680.0,-555.0,6.398594934535208,3.4014703540590903,-0.0782061804451319,4216.0,3832.0,16.0,24.0,75.0,Dense (20+),True,3.200145,0.0998549938201902,0.3139733763155166
309021,Delish Bake N Choc,Gurgaon,"Shop 108 & 109, HUDA Market, Sector 46, Near Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0589267,28.4349266,"Bakery, Fast Food",250,0,0,1,2.9,Orange,Average,28,1,False,True,True,2,Bakery,3.367295829986474,3.1871757240299674,0.6363636363636364,5082.0,5672.0,-590.0,5.525452939131784,3.3153520889822103,-0.1281763649522429,4877.0,4453.0,16.0,23.0,69.0,Dense (20+),True,3.2865613,-0.3865612506866456,0.8578497718071464
306477,Flavours,Gurgaon,"Shop number 59, HUDA Market, Sector 46, Gurgaon, Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0587691,28.4345889,"North Indian, Chinese, Mughlai",600,0,0,2,3.3,Orange,Average,74,2,True,True,True,3,North Indian,4.31748811353631,3.3204270792707926,0.3983739837398374,3125.0,3741.0,-616.0,6.398594934535208,3.4014703540590903,-0.0810432747882976,4249.0,3864.0,16.0,20.0,68.0,Moderate (6-20),True,2.9963665,0.3036334991455076,0.5511771589351425
18303698,Om Sweets & Snacks,Gurgaon,"Shop 135, Huda Market Sector 46, Near, Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0586849,28.4347324,"North Indian, South Indian, Street Food, Mithai",500,0,1,2,2.8,Orange,Average,14,3,True,True,True,4,North Indian,2.70805020110221,3.22877032936996,0.7777777777777778,5462.0,5460.0,2.0,6.2166061010848646,3.3835207391251902,-0.1547504097552305,5090.0,4650.0,16.0,20.0,69.0,Moderate (6-20),True,3.0561092,-0.2561091899871828,0.1242361214772991
18381664,Om Sweets,Gurgaon,"SCO 141 & 142, Huda Market, Sector 46, Near, Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0591044,28.4349952,"Mithai, North Indian, South Indian, Chinese",300,0,1,1,3.2,Orange,Average,50,1,False,True,True,4,Mithai,3.9318256327243257,3.2748740479829035,0.494949494949495,3596.0,5002.0,-1406.0,5.707110264748875,3.3332690071959785,-0.058394959213075,3881.0,3510.0,16.0,24.0,72.0,Dense (20+),True,3.21756,-0.0175600528717039,0.274465494134066
18161601,Raj Restaurant,Gurgaon,"Next to Discovery Wines, Village Kanhai, Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.0593696,28.4342048,"North Indian, Mughlai",700,0,0,2,3.1,Orange,Average,11,2,True,True,True,2,North Indian,2.4849066497880004,3.305208845838458,0.8166666666666667,4106.0,4413.0,-307.0,6.55250788703459,3.416650836170689,-0.111441990332231,4699.0,4288.0,16.0,19.0,69.0,Moderate (6-20),True,3.0269089,0.0730911254882813,0.7201251794843457
18279913,Tasha's Artisan Foods,Gurgaon,"E-15, Greenwoods City, Sector 45, Gurgaon Near Sector 45",Sector 45,"Sector 45, Gurgaon",77.0593546,28.4447042,"Bakery, Desserts",200,0,0,1,3.2,Orange,Average,10,1,False,True,True,2,Bakery,2.3978952727983707,3.3256361144119917,0.8305084745762712,3596.0,3496.0,100.0,5.303304908059076,3.2934415599652347,0.0321945544467565,2421.0,2115.0,14.0,21.0,103.0,Dense (20+),True,3.2671924,-0.0671923637390135,0.8588887235002658
